Periodo que termina:,202431/03,202331/12,202330/09,202330/06
Total de activos corrientes,5644,5260,4695,4329
Efectivo e inversiones a corto plazo,4334,3973,3475,3391
Efectivo,-,-,-,-
Efectivo y equivalentes de efectivo,3451,3114,2618,2550
Inversiones a corto plazo,883,859,857,841
"Cuentas por cobrar, Neto",798,878,755,640
"Cuentas por cobrar - Comercio, Neto",559,602,516,427
"Inventarios, Neto",-,-,-,-
Pagos anticipados,77,64,89,109
"Otros activos corrientes, Neto",435,345,376,189
Total activo,9075,8346,7592,7312
"Inmuebles, mobiliario y equipo (neto)",498,547,618,624
"Inmuebles, mobiliario y equipo (bruto)",1086,1221,1251,1220
"Depreciación acumulada, Total",-588,-674,-633,-596
Crédito mercantil,1159,1137,1180,1148
"Intangibles, Neto",76,84,98,105
Inversiones permanentes,1534,1215,903,1015
Documentos a cobrar a largo plazo,239,276,239,213
"Otros activos permanentes, Total",72,75,75,76
"Otros activos, Total",612,354,501,405
Total pasivos corrientes,3966,4090,3701,3546
Cuentas por pagar,715,662,655,623
Cuentas por pagar /Obligaciones,-,-,-,-
Inversiones a corto plazo,2467,2674,2323,2261
Documentos por pagar/Deuda a corto plazo,-,-,-,-
Deudas con entidades de crédito y obligaciones u otros valores negociables,69,65,65,54
"Otras cuentas por pagar, Total",715,689,658,608
Total pasivo,5766,5823,5453,5258
"Deuda a largo plazo, Total",1763,1696,1729,1689
Deuda a largo plazo,1270,1203,1209,1167
Obligaciones por contratos de arrendamiento financiero,493,493,520,522
Impuesto a las ganancias diferido,17,8,6,6
Participación no controladora,-,-,-,-
"Otros pasivos, Total",20,29,17,17
Capital contable,3309,2523,2139,2054
Acciones preferidas rescatable,-,-,-,-
Crédito mercantil,-,-,-,-
Acciones comunes Total,-,-,-,-
Prima en venta de acciones,5397,5155,4931,4899
Resultado de ejercicios anteriores,-3985,-4182,-4112,-4177
Acciones en tesorería - Acciones Comunes,-262,-262,-262,-262
ESOP Acciones a empleados,-,-,-,-
Ganancia (pérdida) no realizada,-,-,-,-
"Otras participaciones, Total",2159,1812,1582,1594
Total Pasivo y Capital Contable,9075,8346,7592,7312
Total de Acciones Comunes en circulación,199.05,197.14,195.14,194.68
Total de Acciones preferidas en circulación,-,-,-,-
